timeOpen;timeClose;timeHigh;timeLow;name;open;high;low;close;volume;marketCap;timestamp
"2024-05-04T00:00:00.000Z";"2024-05-04T23:59:59.999Z";"2024-05-04T23:31:00.000Z";"2024-05-04T10:00:00.000Z";"2781";0.3104479022;0.3331378439;0.3076670714;0.3281821223;4827456.02;72394383.56;"2024-05-04T23:59:59.999Z"
"2024-05-03T00:00:00.000Z";"2024-05-03T23:59:59.999Z";"2024-05-03T20:32:00.000Z";"2024-05-03T11:40:00.000Z";"2781";0.3057231711;0.3172521778;0.295211247;0.3104686686;4390633.01;68479474.53;"2024-05-03T23:59:59.999Z"
"2024-05-02T00:00:00.000Z";"2024-05-02T23:59:59.999Z";"2024-05-02T23:20:00.000Z";"2024-05-02T01:40:00.000Z";"2781";0.2950806889;0.3066303486;0.283730235;0.3057214477;3833885.23;67425091.05;"2024-05-02T23:59:59.999Z"
"2024-05-01T00:00:00.000Z";"2024-05-01T23:59:59.999Z";"2024-05-01T18:55:00.000Z";"2024-05-01T08:22:00.000Z";"2781";0.2981793137;0.2986401095;0.2736875889;0.2950267333;5936770.77;65059417.82;"2024-05-01T23:59:59.999Z"
"2024-04-30T00:00:00.000Z";"2024-04-30T23:59:59.999Z";"2024-04-30T01:08:00.000Z";"2024-04-30T19:19:00.000Z";"2781";0.3208580752;0.3292927159;0.2856625476;0.2981683749;6270271.81;65745124.77;"2024-04-30T23:59:59.999Z"
"2024-04-29T00:00:00.000Z";"2024-04-29T23:59:59.999Z";"2024-04-29T23:40:00.000Z";"2024-04-29T12:38:00.000Z";"2781";0.3171770787;0.3236824309;0.3046933594;0.3209816653;4878138.01;70767604.75;"2024-04-29T23:59:59.999Z"
"2024-04-28T00:00:00.000Z";"2024-04-28T23:59:59.999Z";"2024-04-28T02:19:00.000Z";"2024-04-28T23:48:00.000Z";"2781";0.3240236692;0.3421971106;0.3146301749;0.3173566572;6048906.78;69960987.36;"2024-04-28T23:59:59.999Z"
"2024-04-27T00:00:00.000Z";"2024-04-27T23:59:59.999Z";"2024-04-27T17:08:00.000Z";"2024-04-27T01:20:00.000Z";"2781";0.3090429256;0.3444304201;0.2983454949;0.3240593624;8765840.79;71430655.33;"2024-04-27T23:59:59.999Z"
"2024-04-26T00:00:00.000Z";"2024-04-26T23:59:59.999Z";"2024-04-26T03:22:00.000Z";"2024-04-26T13:21:00.000Z";"2781";0.3211692563;0.3217442865;0.3029965854;0.3090880879;4753308.37;68123308.91;"2024-04-26T23:59:59.999Z"
"2024-04-25T00:00:00.000Z";"2024-04-25T23:59:59.999Z";"2024-04-25T00:47:00.000Z";"2024-04-25T13:18:00.000Z";"2781";0.3268198287;0.3296288246;0.308031817;0.321380755;6926684.14;70825110.21;"2024-04-25T23:59:59.999Z"
